iteration,id,group_id,x,y,age,known_cells,group_member_ids, last_three_cells
89,7,2,13,24,941,[9_23];[10_22];[10_24];[11_24];[13_24];[10_23],[0;2;6;7;8;9],[11_24];[11_24];[13_24]
89,8,2,19,12,1729,[19_12];[19_10];[19_13];[18_12];[19_11];[20_12];[20_11],[0;2;6;7;8;9],[19_12];[18_12];[19_12]
89,9,2,2,18,2282,[2_18];[1_18];[1_17];[2_19];[2_17],[0;2;6;7;8;9],[2_19];[2_18];[2_17]
90,0,2,6,1,1560,[4_0];[6_2];[6_0];[6_1];[6_3],[0;2;6;7;8;9],[6_2];[6_3];[6_1]
90,1,1,19,0,1358,[16_2];[19_1];[17_0];[17_2];[19_0];[18_1],[1;3;4;5],[19_0];[19_0];[19_0]
90,2,2,21,10,2551,[20_9];[20_10];[21_11];[22_11];[21_10];[21_9],[0;2;6;7;8;9],[20_10];[20_10]
90,3,1,24,23,2386,[21_24];[24_23];[21_22];[23_22];[22_23];[21_23];[24_22];[24_21];[22_22];[23_23],[1;3;4;5],[24_21];[24_21];[24_23]
90,4,1,4,23,2245,[3_23];[4_24];[3_24];[5_23];[3_22];[2_22];[4_23],[1;3;4;5],[5_23];[4_23];[3_23]
90,5,1,19,21,2508,[16_18];[17_21];[20_21];[16_20];[16_19];[17_19];[17_20],[1;3;4;5],[17_20];[18_21];[18_21]
90,6,2,16,18,897,[19_20];[19_21];[16_20];[16_18];[20_21];[18_21];[17_21];[16_19],[0;2;6;7;8;9],[16_18];[16_18];[16_18]
90,7,2,13,23,942,[9_23];[10_22];[10_24];[11_24];[13_24],[0;2;6;7;8;9],[11_24];[13_24];[13_24]
90,8,2,18,12,1730,[19_12];[19_13];[18_12];[19_11];[20_12];[20_11],[0;2;6;7;8;9],[18_12];[19_12];[18_12]
90,9,2,2,17,2283,[2_18];[1_18];[1_17];[2_19];[2_17],[0;2;6;7;8;9],[2_18];[2_17];[2_18]
91,0,2,6,2,1561,[4_0];[6_2];[6_0];[6_1];[6_3],[0;2;6;7;8;9],[6_3];[6_1];[6_2]
91,1,1,19,1,1359,[16_2];[19_1];[17_0];[17_2];[19_0];[18_1],[1;3;4;5],[19_0];[19_0];[19_1]
91,2,2,20,10,2552,[20_9];[20_10];[21_11];[22_11];[21_10];[21_9],[0;2;6;7;8;9],[20_10];[20_10];[20_10]
91,3,1,23,24,2387,[24_23];[21_22];[23_22];[22_23];[21_23];[24_22];[24_21];[22_22];[23_24],[1;3;4;5],[24_23];[24_23];[23_24]
91,4,1,4,22,2246,[3_23];[4_24];[3_24];[5_23];[3_22];[2_22];[4_22];[4_23],[1;3;4;5],[4_23];[3_23];[4_22]
91,5,1,18,21,2509,[19_21];[16_18];[17_21];[20_21];[16_20];[16_19];[17_19];[17_20],[1;3;4;5],[18_21];[18_21];[19_21]
91,6,2,16,19,898,[19_20];[19_21];[16_20];[16_18];[20_21];[17_21];[16_19],[0;2;6;7;8;9],[16_18];[16_18];[16_18]
91,7,2,14,23,943,[9_23];[14_23];[10_22];[10_24];[11_24];[13_24],[0;2;6;7;8;9],[13_24];[13_24];[14_23]
91,8,2,19,12,1731,[19_12];[19_13];[18_12];[19_11];[20_12];[20_11],[0;2;6;7;8;9],[18_12];[18_12];[18_12]
91,9,2,2,19,2284,[2_18];[1_18];[1_17];[2_19];[2_17],[0;2;6;7;8;9],[2_17];[2_17];[2_19]
92,0,2,6,3,1562,[4_0];[6_2];[6_0];[6_1];[6_3],[0;2;6;7;8;9],[6_1];[6_2];[6_2]
92,1,1,19,1,1360,[16_2];[19_1];[17_2];[19_0];[18_1],[1;3;4;5],[19_1];[19_1];[19_1]
92,2,2,20,11,2553,[20_9];[20_10];[21_11];[20_11];[22_11];[21_10];[21_9],[0;2;6;7;8;9],[20_10];[20_10];[20_11]
92,3,1,24,24,2388,[24_23];[21_22];[23_22];[22_23];[24_22];[24_21];[22_22];[23_24],[1;3;4;5],[24_23];[23_24];[23_24]
92,4,1,4,22,2247,[3_23];[5_23];[3_22];[2_22];[4_22];[4_23],[1;3;4;5],[4_22];[4_22];[4_22]
92,5,1,18,21,2510,[19_21];[18_21];[16_18];[17_21];[16_20];[16_19];[17_19];[17_20],[1;3;4;5],[19_21];[18_21];[18_21]
92,6,2,16,17,899,[19_20];[16_17];[19_21];[16_20];[16_18];[20_21];[17_21];[16_19],[0;2;6;7;8;9],[16_19];[16_17]
92,7,2,15,23,944,[9_23];[14_23];[10_22];[10_24];[15_23];[11_24];[13_24],[0;2;6;7;8;9],[13_24];[14_23];[15_23]
92,8,2,19,11,1732,[19_12];[19_13];[18_12];[19_11];[20_12];[20_11],[0;2;6;7;8;9],[18_12];[18_12];[19_12]
92,9,2,2,18,2285,[2_18];[1_18];[1_17];[2_19];[2_17],[0;2;6;7;8;9],[2_17];[2_19];[2_19]
93,0,2,6,2,1563,[4_0];[6_2];[6_0];[6_1];[6_3],[0;2;6;7;8;9],[6_2];[6_2];[6_3]
93,1,1,19,0,1361,[16_2];[19_1];[17_2];[19_0];[18_1],[1;3;4;5],[19_1];[19_1];[19_0]
93,2,2,19,11,2554,[20_9];[20_10];[21_11];[20_11];[22_11];[21_10];[21_9],[0;2;6;7;8;9],[20_11];[20_11]
93,3,1,23,24,2389,[24_23];[24_24];[21_22];[23_22];[22_23];[24_22];[24_21];[22_22];[23_24],[1;3;4;5],[23_24];[23_24];[24_24]
93,4,1,4,23,2248,[3_23];[5_23];[3_22];[2_22];[4_22];[4_23],[1;3;4;5],[4_22];[4_22];[4_22]
93,5,1,19,21,2511,[19_21];[18_21];[16_18];[17_21];[16_20];[16_19];[17_19];[17_20],[1;3;4;5],[18_21];[18_21];[18_21]
93,6,2,16,18,900,[19_20];[16_17];[19_21];[16_20];[16_18];[20_21];[17_21];[16_19],[0;2;6;7;8;9],[16_19];[16_17];[16_17]
93,7,2,15,22,945,[14_23];[10_22];[10_24];[15_23];[11_24];[13_24],[0;2;6;7;8;9],[14_23];[15_23];[15_23]
93,8,2,20,11,1733,[19_12];[19_13];[18_12];[19_11];[20_12];[20_11],[0;2;6;7;8;9],[19_12];[20_11]
93,9,2,2,17,2286,[2_18];[1_18];[1_17];[2_19],[0;2;6;7;8;9],[2_19];[2_19];[2_18]
94,0,2,6,3,1564,[4_0];[6_2];[6_0];[6_1];[6_3],[0;2;6;7;8;9],[6_2];[6_3];[6_2]
94,1,1,19,1,1362,[16_2];[19_1];[17_2];[19_0];[18_1],[1;3;4;5],[19_1];[19_0];[19_1]
94,2,2,19,12,2555,[20_9];[20_10];[21_11];[20_11];[19_11];[22_11];[21_10];[21_9],[0;2;6;7;8;9],[20_11];[20_11];[19_11]
94,3,1,24,24,2390,[24_23];[24_24];[21_22];[23_22];[22_23];[24_22];[24_21];[22_22];[23_24],[1;3;4;5],[23_24];[24_24];[23_24]
94,4,1,3,23,2249,[3_23];[3_22];[2_22];[4_22];[4_23],[1;3;4;5],[4_23]
