iteration,id,group_id,x,y,age,known_cells,group_member_ids, last_three_cells
53,1,1,13,15,1914,[11_14];[11_15];[11_13];[12_14];[12_16];[13_16];[12_15];[12_13];[13_15],[1;5;6;8],[12_14];[12_15];[13_15]
53,2,2,3,5,1864,[0_8];[1_7];[1_8];[0_6];[3_6];[1_6],[0;2;3;4;7;9],[1_6];[3_6];[3_6]
53,3,2,24,6,1793,[24_7];[22_3];[23_6];[24_4];[24_5];[24_6],[0;2;3;4;7;9],[24_6];[24_6]
53,4,2,5,19,1129,[5_17];[5_19];[5_18];[5_20],[0;2;3;4;7;9],[5_18];[5_19];[5_18]
53,5,1,9,7,1800,[7_5];[8_5];[7_4];[6_5];[9_6];[9_8];[8_7];[9_7];[8_4],[1;5;6;8],[9_6];[9_7];[9_8]
53,6,1,24,19,842,[23_19];[24_19];[23_18];[24_20];[24_18],[1;5;6;8],[24_20];[24_18];[24_18]
53,7,2,22,9,1508,[21_8];[22_7];[22_8];[23_7];[22_9],[0;2;3;4;7;9],[22_8];[22_7];[22_9]
53,8,1,17,18,1737,[17_18];[16_18],[1;5;6;8],[17_19];[17_18];[17_19]
53,9,2,8,14,1291,[7_15];[9_14];[8_14];[7_14];[8_15];[8_13];[7_13];[7_16],[0;2;3;4;7;9],[8_13];[9_14];[8_14]
54,0,2,9,11,1754,[10_10];[8_10];[9_11];[9_12];[10_12];[10_11];[9_10],[0;2;3;4;7;9],[10_11];[10_11];[9_10]
54,1,1,12,15,1915,[11_14];[11_15];[11_13];[12_14];[12_16];[12_15];[12_13];[13_15],[1;5;6;8],[12_15];[13_15];[12_15]
54,2,2,3,6,1865,[0_8];[1_7];[1_8];[0_6];[3_6];[1_6];[3_5],[0;2;3;4;7;9],[3_6];[3_6];[3_5]
54,3,2,24,5,1794,[24_7];[23_6];[24_4];[24_5];[24_6],[0;2;3;4;7;9],[24_6];[24_6];[24_6]
54,4,2,5,19,1130,[5_17];[5_19];[5_18];[5_20],[0;2;3;4;7;9],[5_19];[5_19];[5_19]
54,5,1,9,8,1801,[8_5];[7_4];[6_5];[9_6];[9_8];[8_7];[9_7];[8_4],[1;5;6;8],[9_7];[9_8];[9_7]
54,6,1,23,18,843,[23_19];[24_19];[23_18];[24_20];[24_18],[1;5;6;8],[24_18];[24_19];[23_18]
54,7,2,21,9,1509,[21_8];[22_7];[21_9];[23_7];[22_9],[0;2;3;4;7;9],[22_7];[22_9];[21_9]
54,8,1,18,18,1738,[17_18];[16_18];[18_18],[1;5;6;8],[17_18];[18_18]
54,9,2,9,14,1292,[7_15];[9_14];[8_14];[7_14];[8_15];[8_13];[7_13];[7_16],[0;2;3;4;7;9],[9_14];[8_14];[8_14]
55,0,2,10,11,1755,[10_10];[8_10];[9_11];[9_12];[10_12];[10_11];[9_10],[0;2;3;4;7;9],[10_11];[9_10];[10_11]
55,1,1,11,15,1916,[11_14];[11_15];[11_13];[12_14];[12_15];[12_13];[13_15],[1;5;6;8],[13_15];[12_15];[12_15]
55,2,2,3,5,1866,[0_8];[1_7];[1_8];[0_6];[3_6];[1_6];[3_5],[0;2;3;4;7;9],[3_6];[3_5];[3_6]
55,3,2,23,5,1795,[24_7];[23_5];[23_6];[24_5];[24_6],[0;2;3;4;7;9],[24_6];[24_6];[23_5]
55,4,2,5,20,1131,[5_17];[5_19];[5_18];[5_20],[0;2;3;4;7;9],[5_19];[5_19];[5_20]
55,5,1,9,8,1802,[8_5];[7_4];[6_5];[9_6];[9_8];[8_7];[9_7];[8_4],[1;5;6;8],[9_8];[9_8];[9_8]
55,6,1,23,19,844,[23_19];[24_19];[23_18];[24_18],[1;5;6;8],[24_19];[23_18];[23_18]
55,7,2,21,10,1510,[21_8];[22_7];[21_9];[23_7];[22_9],[0;2;3;4;7;9],[22_9];[21_9];[21_9]
55,8,1,17,17,1739,[17_18];[17_17];[16_18];[18_18],[1;5;6;8],[18_18];[18_18];[17_17]
55,9,2,8,14,1293,[7_15];[9_14];[8_14];[7_14];[8_13];[7_13];[7_16],[0;2;3;4;7;9],[8_14];[8_14];[9_14]
56,0,2,9,10,1756,[10_10];[8_10];[9_11];[9_12];[10_12];[10_11];[9_10],[0;2;3;4;7;9],[9_10];[9_10]
56,1,1,12,15,1917,[11_14];[11_15];[11_13];[12_14];[12_15];[12_13];[13_15],[1;5;6;8],[13_15];[11_15]
56,2,2,3,6,1867,[0_8];[1_7];[1_8];[0_6];[3_6];[1_6];[3_5],[0;2;3;4;7;9],[3_5];[3_5]
56,3,2,24,5,1796,[24_7];[23_5];[23_6];[24_5];[24_6],[0;2;3;4;7;9],[23_5];[23_5]
56,4,2,5,19,1132,[5_17];[5_19];[5_18];[5_20],[0;2;3;4;7;9],[5_20];[5_20]
56,5,1,9,7,1803,[8_5];[7_4];[6_5];[9_6];[9_8];[8_7];[9_7];[8_4],[1;5;6;8],[9_8];[9_8];[9_8]
56,6,1,24,19,845,[23_19];[24_19];[23_18];[24_18],[1;5;6;8],[23_18];[23_18];[23_19]
56,7,2,21,9,1511,[21_8];[22_7];[21_9];[23_7];[22_9],[0;2;3;4;7;9],[21_9];[21_9];[21_9]
56,8,1,18,17,1740,[17_18];[17_17];[16_18];[18_18],[1;5;6;8],[18_18];[17_17];[17_17]
56,9,2,9,14,1294,[7_15];[9_14];[8_14];[7_14];[8_13];[7_13];[7_16],[0;2;3;4;7;9],[8_14];[8_14];[8_14]
57,0,2,8,11,1757,[8_10];[9_11];[9_12];[10_12];[9_10];[10_11];[8_11];[10_10],[0;2;3;4;7;9],[9_10];[9_10];[8_11]
57,1,1,10,15,1918,[11_14];[11_15];[11_13];[12_14];[10_15];[12_13];[13_15],[1;5;6;8],[11_15];[12_15];[10_15]
57,2,2,4,5,1868,[1_8];[3_6];[4_5];[1_6];[3_5];[0_8];[1_7];[0_6],[0;2;3;4;7;9],[3_5];[3_6];[4_5]
57,3,2,24,6,1797,[24_7];[23_5];[23_6];[24_5];[24_6],[0;2;3;4;7;9],[23_5];[23_5];[24_5]
57,4,2,6,19,1133,[5_17];[6_19];[5_19];[5_18];[5_20],[0;2;3;4;7;9],[5_20];[5_20];[6_19]
57,5,1,8,7,1804,[8_5];[7_4];[9_6];[9_8];[8_7];[9_7];[8_4],[1;5;6;8],[8_7]
57,6,1,23,19,846,[23_19];[24_19];[23_18];[24_18],[1;5;6;8],[23_18];[23_19];[23_19]
57,7,2,20,10,1512,[21_8];[22_7];[21_9];[20_10];[23_7];[22_9],[0;2;3;4;7;9],[20_10]
57,8,1,17,17,1741,[17_18];[17_17];[16_18];[18_17];[18_18],[1;5;6;8],[17_17];[17_17];[18_17]
57,9,2,8,15,1295,[7_15];[8_14];[7_14];[8_15];[8_13];[7_13];[7_16],[0;2;3;4;7;9],[9_14];[8_15]
58,0,2,9,11,1758,[8_10];[9_11];[10_12];[9_10];[10_11];[8_11];[10_10],[0;2;3;4;7;9],[8_11];[8_11]
58,1,1,10,14,1919,[11_14];[11_15];[11_13];[12_14];[10_15];[12_13];[13_15],[1;5;6;8],[12_15];[10_15];[10_15]
58,2,2,3,5,1869,[1_8];[3_6];[4_5];[1_6];[3_5];[0_8];[1_7];[0_6],[0;2;3;4;7;9],[3_6];[4_5];[4_5]
58,3,2,24,5,1798,[24_7];[23_5];[23_6];[24_5];[24_6],[0;2;3;4;7;9],[23_5];[24_5];[24_6]
58,4,2,5,19,1134,[5_17];[6_19];[5_19];[5_18];[5_20],[0;2;3;4;7;9],[5_20];[6_19];[6_19]
58,5,1,8,6,1805,[8_5];[7_4];[9_6];[9_8];[8_7];[9_7];[8_4],[1;5;6;8],[8_7];[8_7]
58,6,1,24,18,847,[24_19];[23_18];[24_18],[1;5;6;8],[23_19];[23_19];[24_18]
58,7,2,20,11,1513,[21_8];[21_9];[20_10];[23_7];[22_9],[0;2;3;4;7;9],[20_10];[20_10]
58,8,1,18,17,1742,[17_18];[17_17];[16_18];[18_17];[18_18],[1;5;6;8],[17_17];[18_17];[17_17]
58,9,2,8,14,1296,[7_15];[8_14];[7_14];[8_15];[8_13];[7_13];[7_16],[0;2;3;4;7;9],[9_14];[8_15];[8_15]
59,0,2,9,10,1759,[8_10];[9_11];[9_10];[10_11];[8_11];[10_10],[0;2;3;4;7;9],[8_11];[8_11];[9_11]
59,1,1,9,14,1920,[11_14];[11_15];[11_13];[12_14];[10_15];[12_13];[10_14];[13_15],[1;5;6;8],[10_15];[10_15];[10_14]
59,2,2,2,5,1870,[1_8];[3_6];[4_5];[1_6];[3_5];[0_8];[1_7];[2_5];[0_6],[0;2;3;4;7;9],[4_5];[4_5];[2_5]
59,3,2,24,5,1799,[24_7];[23_5];[23_6];[24_5],[0;2;3;4;7;9],[24_6];[24_5];[24_5]
59,4,2,5,20,1135,[5_17];[6_19];[5_18];[5_20],[0;2;3;4;7;9],[6_19];[6_19];[5_20]
59,5,1,7,6,1806,[7_6];[7_4];[9_6];[9_8];[8_7];[9_7];[8_4],[1;5;6;8],[8_7];[8_7];[7_6]
59,6,1,24,19,848,[24_19];[23_18];[24_18],[1;5;6;8],[24_18];[24_18]
59,7,2,20,11,1514,[21_8];[20_11];[21_9];[20_10];[23_7];[22_9],[0;2;3;4;7;9],[20_10];[20_11];[20_11]
59,8,1,17,17,1743,[17_18];[17_17];[16_18];[18_17];[18_18],[1;5;6;8],[18_17];[18_17]
59,9,2,9,14,1297,[7_15];[8_14];[7_14];[8_15];[8_13];[7_13];[7_16],[0;2;3;4;7;9],[8_15];[8_15];[8_14]
60,0,2,9,11,1760,[8_10];[9_11];[9_10];[10_11];[8_11];[10_10],[0;2;3;4;7;9],[8_11];[9_11];[9_11]
60,1,1,8,14,1921,[11_14];[11_15];[11_13];[9_14];[12_14];[10_15];[12_13];[10_14];[13_15],[1;5;6;8],[10_15];[10_14];[9_14]
60,2,2,2,4,1871,[1_8];[3_6];[4_5];[1_6];[3_5];[0_8];[1_7];[2_5];[0_6],[0;2;3;4;7;9],[4_5];[2_5];[2_5]
60,3,2,24,6,1800,[24_7];[23_5];[23_6];[24_5],[0;2;3;4;7;9],[24_5];[24_5];[24_5]
